id,time,new_brand,week_of,adspend,month,year,volume,pos,neg,mixed,superbowl
1,1,Beetle,2-Jan-12,2.7,1,2012,2661,533,62,2066,0
1,2,Beetle,9-Jan-12,4,1,2012,3620,677,87,2856,0
1,3,Beetle,16-Jan-12,1.3,1,2012,4138,753,98,3287,0
1,4,Beetle,23-Jan-12,0.7,1,2012,3255,674,99,2482,0
1,5,Beetle,30-Jan-12,7105,1,2012,5144,1199,172,3773,1
1,6,Beetle,6-Feb-12,2576.2,2,2012,8021,2150,435,5436,1
1,7,Beetle,13-Feb-12,41.2,2,2012,3728,881,145,2702,1
1,8,Beetle,20-Feb-12,42.8,2,2012,4396,1021,172,3203,1
1,9,Beetle,27-Feb-12,19.8,2,2012,4297,865,158,3274,1
1,10,Beetle,5-Mar-12,0.3,3,2012,4326,895,148,3283,1
1,11,Beetle,12-Mar-12,1.4,3,2012,3870,873,113,2884,1
1,12,Beetle,19-Mar-12,2.5,3,2012,3840,956,135,2749,1
1,13,Beetle,26-Mar-12,4.3,3,2012,4240,878,109,3253,1
1,14,Beetle,2-Apr-12,2.3,4,2012,3760,589,84,3087,1
1,15,Beetle,9-Apr-12,0.9,4,2012,1885,311,44,1530,1
2,1,CR-Z,2-Jan-12,1,1,2012,1014,246,54,714,0
2,2,CR-Z,9-Jan-12,0.4,1,2012,970,232,42,696,0
2,3,CR-Z,16-Jan-12,1.2,1,2012,1554,348,110,1096,0
2,4,CR-Z,23-Jan-12,2.4,1,2012,1148,246,36,866,0
2,5,CR-Z,30-Jan-12,0.9,1,2012,3342,446,72,2824,1
2,6,CR-Z,6-Feb-12,0.6,2,2012,2038,580,72,1386,1
2,7,CR-Z,13-Feb-12,1.2,2,2012,1534,264,56,1214,1
2,8,CR-Z,20-Feb-12,0.9,2,2012,1324,494,42,788,1
2,9,CR-Z,27-Feb-12,0.8,2,2012,1434,432,66,936,1
2,10,CR-Z,5-Mar-12,0.5,3,2012,1268,302,36,930,1
2,11,CR-Z,12-Mar-12,0.8,3,2012,1228,282,34,912,1
2,12,CR-Z,19-Mar-12,0.6,3,2012,1230,298,76,856,1
2,13,CR-Z,26-Mar-12,0.5,3,2012,1396,282,50,1064,1
2,14,CR-Z,2-Apr-12,0.5,4,2012,988,262,40,686,1
2,15,CR-Z,9-Apr-12,0.5,4,2012,566,88,4,474,1
3,1,Camaro,2-Jan-12,75.3,1,2012,78030,18528,4036,55466,0
3,2,Camaro,9-Jan-12,61,1,2012,84868,19966,4348,60554,0
3,3,Camaro,16-Jan-12,86.9,1,2012,91640,23230,4698,63712,0
3,4,Camaro,23-Jan-12,61.2,1,2012,95844,24004,4752,67088,0
3,5,Camaro,30-Jan-12,3977.6,1,2012,98910,25140,4908,68862,1
3,6,Camaro,6-Feb-12,272.1,2,2012,100034,27568,5022,67444,1
3,7,Camaro,13-Feb-12,59.9,2,2012,94030,24234,4640,65156,1
3,8,Camaro,20-Feb-12,72.7,2,2012,101664,26762,5454,69448,1
3,9,Camaro,27-Feb-12,88.9,2,2012,107356,27746,5242,74368,1
3,10,Camaro,5-Mar-12,202.5,3,2012,108438,26236,5582,76620,1
3,11,Camaro,12-Mar-12,132.3,3,2012,104014,26190,5010,72814,1
3,12,Camaro,19-Mar-12,105.5,3,2012,92904,23048,4944,64912,1
3,13,Camaro,26-Mar-12,534,3,2012,107044,26418,5742,74884,1
3,14,Camaro,2-Apr-12,165.3,4,2012,85274,19522,4000,61752,1
3,15,Camaro,9-Apr-12,82.4,4,2012,30078,5732,924,23422,1
